m,n,p_m,p_n,k,Div,LaRue,Base,Modulator,Drain,Λ Ratio,Nearest Zero,Resonance,λ_P(k),λ_P(m*n),Normalized_Div
2,37,3,157,6,-1.4749106560607409e+30,-1.888343955271115e+33,1280.3107,1.888343955271115e+33,99.9241,0.217278,37.586178,1.4749106560607409e+30,1.098612,6.154858,-1.0
2,38,3,163,6,-2.891692731454257e+31,-3.8437531088402125e+34,1329.2398,3.8437531088402125e+34,103.8676,0.215678,37.586178,2.891692731454257e+31,1.098612,6.192362,-1.0
2,39,3,167,7,-2.1127725495828997e+32,-2.8772987258283404e+35,1361.8592,2.8772987258283404e+35,106.4613,0.214657,40.918719,2.1127725495828997e+32,1.098612,6.216606,-1.0
2,40,3,173,7,-4.148625681856471e+33,-5.852832444311791e+36,1410.7883,5.852832444311791e+36,110.3801,0.213187,40.918719,4.148625681856471e+33,1.098612,6.251904,-1.0
2,41,3,179,8,-8.1534742140851735e+34,-1.1901767706891974e+38,1459.7173,1.1901767706891974e+38,114.2831,0.211785,43.327073,8.1534742140851735e+34,1.098612,6.285998,-1.0
2,42,3,181,8,-2.2184229880836828e+35,-3.2744523007146247e+38,1476.027,3.2744523007146247e+38,115.5244,0.211333,43.327073,2.2184229880836828e+35,1.098612,6.297109,-1.0
2,43,3,191,8,-3.156978008689818e+37,-4.917231561565421e+40,1557.5755,4.917231561565421e+40,122.0414,0.209169,43.327073,3.156978008689818e+37,1.098612,6.350886,-1.0
2,44,3,193,9,-8.59081184422251e+37,-1.3520951434431397e+41,1573.8852,1.3520951434431397e+41,123.2772,0.208755,48.005151,8.59081184422251e+37,1.098612,6.361302,-1.0
2,45,3,197,9,-6.289182141225764e+38,-1.0103599792444617e+42,1606.5046,1.0103599792444617e+42,125.818,0.207944,48.005151,6.289182141225764e+38,1.098612,6.381816,-1.0
2,46,3,199,9,-1.7110963431078198e+39,-2.7767915314389877e+42,1622.8143,2.7767915314389877e+42,127.0345,0.207548,48.005151,1.7110963431078198e+39,1.098612,6.391917,-1.0
2,47,3,211,10,-6.5808499535395975e+41,-1.1323486866582578e+45,1720.6724,1.1323486866582578e+45,134.7862,0.205277,49.773832,6.5808499535395975e+41,1.098612,6.45047,-1.0
2,48,3,223,11,-2.5386227178463333e+44,-4.616562950164216e+47,1818.5305,4.616562950164216e+47,142.4377,0.203177,52.970321,2.5386227178463333e+44,1.098612,6.505784,-1.0
2,49,3,227,11,-1.8618451301771467e+45,-3.446554473425308e+48,1851.1499,3.446554473425308e+48,144.937,0.202511,52.970321,1.8618451301771467e+45,1.098612,6.523562,-1.0
2,50,3,229,11,-5.0677522143644543e+45,-9.46382260498727e+48,1867.4596,9.46382260498727e+48,146.1521,0.202184,52.970321,5.0677522143644543e+45,1.098612,6.532334,-1.0
2,51,3,233,12,-3.716926584019733e+46,-7.062454139748978e+49,1900.079,7.062454139748978e+49,148.635,0.201542,56.446248,3.716926584019733e+46,1.098612,6.549651,-1.0
2,52,3,239,12,-7.34923327371197e+47,-1.4323714966164125e+51,1949.0081,1.4323714966164125e+51,152.3824,0.200606,56.446248,7.34923327371197e+47,1.098612,6.575076,-1.0
2,53,3,241,12,-2.0001088702707567e+48,-3.9308494886286484e+51,1965.3178,3.9308494886286484e+51,153.5754,0.200301,56.446248,2.0001088702707567e+48,1.098612,6.583409,-1.0
2,54,3,251,13,-2.8769234858250504e+50,-5.8886774915391214e+53,2046.8662,5.8886774915391214e+53,159.8302,0.198828,59.347044,2.8769234858250504e+50,1.098612,6.624065,-1.0
2,55,3,257,14,-5.695565101699414e+51,-1.1936738512560116e+55,2095.7953,1.1936738512560116e+55,163.5309,0.197981,60.831779,5.695565101699414e+51,1.098612,6.647688,-1.0
2,56,3,263,14,-1.1280031426936998e+53,-2.419255821285665e+56,2144.7244,2.419255821285665e+56,167.216,0.197161,60.831779,1.1280031426936998e+53,1.098612,6.670766,-1.0
